Comunidad autónoma de residencia	Concepto turístico	Tipo de dato	Periodo	Total
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2016T3	-0,8
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2016T2	11,45
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2016T1	21,18
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2015T4	""
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2015T3	""
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2015T2	""
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2015T1	""
18 Ceuta	Viajes	Valor absoluto	2021T2	30.177
18 Ceuta	Viajes	Valor absoluto	2021T1	17.674
18 Ceuta	Viajes	Valor absoluto	2020T4	21.941
18 Ceuta	Viajes	Valor absoluto	2020T3	38.122
18 Ceuta	Viajes	Valor absoluto	2020T2	..
18 Ceuta	Viajes	Valor absoluto	2020T1	40.903
18 Ceuta	Viajes	Valor absoluto	2019T4	55.888
18 Ceuta	Viajes	Valor absoluto	2019T3	100.952
18 Ceuta	Viajes	Valor absoluto	2019T2	100.259
18 Ceuta	Viajes	Valor absoluto	2019T1	68.819
18 Ceuta	Viajes	Valor absoluto	2018T4	75.559
18 Ceuta	Viajes	Valor absoluto	2018T3	90.016
18 Ceuta	Viajes	Valor absoluto	2018T2	66.032
18 Ceuta	Viajes	Valor absoluto	2018T1	53.998
18 Ceuta	Viajes	Valor absoluto	2017T4	99.867
18 Ceuta	Viajes	Valor absoluto	2017T3	84.446
18 Ceuta	Viajes	Valor absoluto	2017T2	61.895
18 Ceuta	Viajes	Valor absoluto	2017T1	61.299
18 Ceuta	Viajes	Valor absoluto	2016T4	81.312
18 Ceuta	Viajes	Valor absoluto	2016T3	96.290
18 Ceuta	Viajes	Valor absoluto	2016T2	82.221
18 Ceuta	Viajes	Valor absoluto	2016T1	85.285
18 Ceuta	Viajes	Valor absoluto	2015T4	85.581
18 Ceuta	Viajes	Valor absoluto	2015T3	95.875
18 Ceuta	Viajes	Valor absoluto	2015T2	73.728
18 Ceuta	Viajes	Valor absoluto	2015T1	61.161
18 Ceuta	Viajes	Distribución porcentual	2021T2	0,1
18 Ceuta	Viajes	Distribución porcentual	2021T1	0,1
18 Ceuta	Viajes	Distribución porcentual	2020T4	0,1
18 Ceuta	Viajes	Distribución porcentual	2020T3	0,1
18 Ceuta	Viajes	Distribución porcentual	2020T2	..
18 Ceuta	Viajes	Distribución porcentual	2020T1	0,1
18 Ceuta	Viajes	Distribución porcentual	2019T4	0,1
18 Ceuta	Viajes	Distribución porcentual	2019T3	0,2
18 Ceuta	Viajes	Distribución porcentual	2019T2	0,2
18 Ceuta	Viajes	Distribución porcentual	2019T1	0,2
18 Ceuta	Viajes	Distribución porcentual	2018T4	0,2
18 Ceuta	Viajes	Distribución porcentual	2018T3	0,1
18 Ceuta	Viajes	Distribución porcentual	2018T2	0,1
18 Ceuta	Viajes	Distribución porcentual	2018T1	0,1
18 Ceuta	Viajes	Distribución porcentual	2017T4	0,2
18 Ceuta	Viajes	Distribución porcentual	2017T3	0,1
18 Ceuta	Viajes	Distribución porcentual	2017T2	0,1
18 Ceuta	Viajes	Distribución porcentual	2017T1	0,2
18 Ceuta	Viajes	Distribución porcentual	2016T4	0,2
18 Ceuta	Viajes	Distribución porcentual	2016T3	0,2
18 Ceuta	Viajes	Distribución porcentual	2016T2	0,2
18 Ceuta	Viajes	Distribución porcentual	2016T1	0,2
18 Ceuta	Viajes	Distribución porcentual	2015T4	0,2
18 Ceuta	Viajes	Distribución porcentual	2015T3	0,2
18 Ceuta	Viajes	Distribución porcentual	2015T2	0,2
18 Ceuta	Viajes	Distribución porcentual	2015T1	0,2
18 Ceuta	Viajes	Acumulado en lo que va de año	2021T2	47.851
18 Ceuta	Viajes	Acumulado en lo que va de año	2021T1	17.674
18 Ceuta	Viajes	Acumulado en lo que va de año	2020T4	109.061
18 Ceuta	Viajes	Acumulado en lo que va de año	2020T3	87.120
18 Ceuta	Viajes	Acumulado en lo que va de año	2020T2	48.997
18 Ceuta	Viajes	Acumulado en lo que va de año	2020T1	40.903
18 Ceuta	Viajes	Acumulado en lo que va de año	2019T4	325.917
18 Ceuta	Viajes	Acumulado en lo que va de año	2019T3	270.029
